,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
52403,20160915,2016,9,15,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52410,20160916,2016,9,16,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52417,20160917,2016,9,17,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52424,20160918,2016,9,18,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52432,20161116,2016,11,16,¸¶´Ã,34.301,7400.0,7200.0,10432.0,10432.0
52439,20161117,2016,11,17,¸¶´Ã,34.301,7400.0,7400.0,10432.0,10432.0
52446,20161118,2016,11,18,¸¶´Ã,34.301,7400.0,7400.0,10432.0,10053.0
52455,20170116,2017,1,16,¸¶´Ã,33.08,7350.0,7300.0,10242.0,10145.0
52462,20170117,2017,1,17,¸¶´Ã,33.08,7350.0,7350.0,10145.0,10145.0
52469,20170118,2017,1,18,¸¶´Ã,33.08,7350.0,7350.0,10145.0,10145.0
52476,20170119,2017,1,19,¸¶´Ã,33.08,7350.0,7350.0,10145.0,10145.0
52485,20170315,2017,3,15,¸¶´Ã,21.747,7110.0,7150.0,10285.0,10285.0
52492,20170316,2017,3,16,¸¶´Ã,21.747,7110.0,7110.0,10285.0,10271.0
52499,20170317,2017,3,17,¸¶´Ã,21.747,7110.0,7110.0,10271.0,10179.0
52510,20160919,2016,9,19,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52517,20160920,2016,9,20,¸¶´Ã,31.455,7000.0,7000.0,10103.0,9921.0
52524,20160921,2016,9,21,¸¶´Ã,29.056,7000.0,7000.0,9921.0,9962.0
52531,20160922,2016,9,22,¸¶´Ã,29.056,7000.0,7000.0,9962.0,9954.0
52533,20161119,2016,11,19,¸¶´Ã,34.301,7400.0,7400.0,10053.0,10131.0
52540,20161120,2016,11,20,¸¶´Ã,34.301,7400.0,7400.0,10053.0,10131.0
